YEAR	MONTH	DAY	HOUR	MINUTE	CO-ppb
2000	1	2	20	30	169.04
2000	1	2	20	30	169.09
2000	1	6	16	30	169.13
2000	1	6	16	30	169.15
2000	1	9	17	15	169.23
2000	1	9	17	15	169.23
2000	1	13	17	30	169.26
2000	1	13	17	30	169.27
2000	1	16	17	30	169.29
2000	1	16	17	30	169.3
2000	1	20	18	0	169.35
2000	1	20	18	0	169.35
2000	1	23	17	30	169.43
2000	1	23	17	30	169.49
2000	1	27	18	55	169.55
2000	1	27	18	55	169.62
2000	1	30	17	24	169.64
2000	1	30	17	24	169.7
2000	2	3	19	0	169.73
2000	2	3	19	0	169.75
2000	2	6	17	5	169.76
2000	2	6	17	5	169.77
2000	2	10	17	40	169.79
2000	2	10	17	40	169.81
2000	2	13	17	34	169.83
2000	2	13	17	34	169.83
2000	2	17	20	10	169.97
2000	2	17	20	10	170.03
2000	2	20	19	10	170.03
2000	2	20	19	10	170.07
2000	2	24	20	30	170.08
2000	2	24	20	30	170.11
2000	2	27	22	0	170.18
2000	2	27	22	0	170.19
2000	3	2	17	30	170.2
2000	3	2	17	30	170.24
2000	3	5	17	45	170.25
2000	3	5	17	45	170.26
2000	3	9	18	45	170.27
2000	3	9	18	45	170.28
2000	3	12	17	36	170.29
2000	3	12	17	36	170.39
2000	3	16	17	30	170.41
2000	3	16	17	30	170.49
2000	3	19	20	20	170.54
2000	3	19	20	20	170.64
2000	3	24	17	15	170.68
2000	3	24	17	15	170.71
2000	3	26	22	0	170.73
2000	3	26	22	0	170.8
2000	3	30	17	55	170.83
2000	3	30	17	55	171.01
2000	4	2	17	24	171.06
2000	4	2	17	24	171.14
2000	4	6	17	30	171.15
2000	4	6	17	30	171.15
2000	4	9	16	15	171.29
2000	4	9	16	15	171.34
2000	4	13	18	55	171.42
2000	4	13	18	55	171.42
2000	4	16	18	10	171.55
2000	4	16	18	10	171.57
2000	4	20	17	35	171.64
2000	4	20	17	35	171.74
2000	4	23	20	50	171.81
2000	4	23	20	50	171.86
2000	4	27	15	50	171.86
2000	4	27	15	50	171.9
2000	4	30	16	0	171.95
2000	4	30	16	0	171.97
2000	5	4	17	0	171.98
2000	5	4	17	0	172
2000	5	7	16	15	172.01
2000	5	7	16	15	172.01
2000	5	11	17	30	172.12
2000	5	11	17	30	172.14
2000	5	14	19	5	172.21
2000	5	14	19	5	172.23
2000	5	18	17	50	172.27
2000	5	18	17	50	172.28
2000	5	21	20	25	172.3
2000	5	21	20	25	172.4
2000	5	25	18	10	172.42
2000	5	25	18	10	172.43
2000	5	28	17	12	172.46
2000	5	28	17	12	172.5
2000	6	1	16	15	172.53
2000	6	1	16	15	172.58
2000	6	4	16	35	172.63
2000	6	4	16	35	172.72
2000	6	8	19	50	172.75
2000	6	8	19	50	172.77
2000	6	11	19	5	172.81
2000	6	11	19	5	172.88
2000	6	15	16	17	173
2000	6	15	16	17	173.06
2000	6	18	16	15	173.07
2000	6	18	16	15	173.15
2000	6	18	16	35	173.21
2000	6	18	16	35	173.36
2000	6	22	19	5	173.38
2000	6	22	19	5	173.39
2000	6	25	16	25	173.48
2000	6	25	16	25	173.53
2000	6	29	16	25	173.56
2000	6	29	16	25	173.64
2000	7	2	16	35	173.74
2000	7	2	16	35	173.8
2000	7	6	19	40	173.83
2000	7	6	19	40	173.89
2000	7	9	21	35	173.92
2000	7	9	21	35	173.95
2000	7	13	17	25	174.01
2000	7	13	17	25	174.03
2000	7	16	16	44	174.13
2000	7	16	16	44	174.16
2000	7	20	15	27	174.16
2000	7	20	15	27	174.21
2000	7	23	21	25	174.28
2000	7	23	21	25	174.28
2000	7	27	16	25	174.33
2000	7	27	16	25	174.4
2000	7	30	16	25	174.41
2000	7	30	16	25	174.51
2000	8	3	16	45	174.55
2000	8	3	16	45	174.62
2000	8	6	15	2	174.63
2000	8	6	15	2	174.67
2000	8	10	16	59	174.68
2000	8	10	16	59	174.68
2000	8	13	22	22	174.69
2000	8	13	22	22	174.7
2000	8	17	15	40	174.74
2000	8	17	15	40	174.79
2000	8	20	15	52	174.81
2000	8	20	15	52	174.84
2000	8	24	17	30	174.87
2000	8	24	17	30	174.96
2000	8	27	16	35	175
2000	8	27	16	35	175.1
2000	8	31	19	55	175.18
2000	8	31	19	55	175.23
2000	9	3	21	40	175.23
2000	9	3	21	40	175.24
2000	9	7	16	11	175.29
2000	9	7	16	11	175.31
2000	9	10	15	47	175.36
2000	9	10	15	47	175.44
2000	9	14	15	26	175.69
2000	9	14	15	26	175.72
2000	9	17	14	42	175.76
2000	9	17	14	42	175.86
2000	9	21	16	25	175.87
2000	9	21	16	25	175.93
2000	9	24	16	25	176.09
2000	9	24	16	25	176.23
2000	9	28	21	35	176.26
2000	9	28	21	35	176.28
2000	10	1	22	8	176.31
2000	10	1	22	8	176.32
2000	10	5	16	47	176.37
2000	10	5	16	47	176.39
2000	10	8	20	2	176.4
2000	10	8	20	2	176.43
2000	10	12	15	25	176.64
2000	10	12	15	25	176.76
2000	10	15	15	44	176.82
2000	10	15	15	44	177.01
2000	10	19	16	25	177.02
2000	10	19	16	25	177.17
2000	10	22	16	20	177.22
2000	10	22	16	20	177.37
2000	12	14	17	14	177.45
2000	12	14	17	14	177.56
2000	12	17	17	4	177.76
2000	12	17	17	4	177.77
2000	12	22	18	0	177.81
2000	12	22	18	0	178.25
2000	12	24	18	45	178.28
2000	12	24	18	45	178.33
2000	12	28	17	17	178.33
2000	12	28	17	17	178.36
2000	12	31	17	15	178.36
2000	12	31	17	15	178.59
2001	1	4	18	4	178.59
2001	1	4	18	4	178.8
2001	1	7	23	37	178.88
2001	1	8	17	39	179.01
2001	1	8	17	39	179.05
2001	1	11	20	50	179.05
2001	1	11	20	50	179.13
2001	1	14	17	5	179.25
2001	1	14	17	5	179.29
2001	1	18	17	30	179.29
2001	1	18	17	30	179.32
2001	1	21	17	30	179.36
2001	1	21	17	30	179.39
2001	1	25	17	35	179.41
2001	1	25	17	35	179.47
2001	1	28	18	45	179.53
2001	1	28	18	45	179.7
2001	2	1	19	5	179.71
2001	2	1	19	5	179.73
2001	2	1	19	5	179.75
2001	2	1	19	5	179.8
2001	2	4	18	30	179.8
2001	2	4	18	30	179.88
2001	2	8	2	40	179.93
2001	2	8	2	40	179.93
2001	2	11	22	35	179.95
2001	2	11	22	35	180.02
2001	2	15	17	30	180.05
2001	2	15	17	30	180.35
2001	2	18	17	30	180.51
2001	2	18	17	30	180.51
2001	2	23	17	40	180.56
2001	2	23	17	40	180.59
2001	2	25	22	15	180.67
2001	2	25	22	15	180.82
2001	3	1	17	32	180.93
2001	3	1	17	32	180.99
2001	3	4	18	56	181.01
2001	3	4	18	56	181.07
2001	3	8	22	20	181.16
2001	3	8	22	20	181.21
2001	3	11	22	1	181.36
2001	3	11	22	1	181.38
2001	3	15	17	30	181.43
2001	3	15	17	30	181.43
2001	3	18	17	20	181.46
2001	3	18	17	20	181.52
2001	3	22	20	45	181.62
2001	3	22	20	45	181.65
2001	3	25	21	15	181.65
2001	3	25	21	15	181.74
2001	3	29	18	3	181.75
2001	3	29	18	3	181.76
2001	4	1	15	37	181.8
2001	4	1	15	37	181.81
2001	4	5	19	45	181.89
2001	4	5	19	45	182.01
2001	4	8	22	15	182.04
2001	4	8	22	15	182.11
2001	4	12	16	30	182.16
2001	4	12	16	30	182.22
2001	4	15	18	0	182.25
2001	4	15	18	0	182.31
2001	4	19	16	23	182.5
2001	4	19	16	23	182.53
2001	4	22	16	21	182.61
2001	4	22	16	21	182.63
2001	4	26	16	45	182.66
2001	4	26	16	45	182.67
2001	4	30	16	34	182.67
2001	4	30	16	34	182.84
2001	5	3	22	45	182.86
2001	5	3	22	45	182.93
2001	5	6	22	25	182.99
2001	5	6	22	25	183.03
2001	5	10	16	24	183.05
2001	5	10	16	24	183.05
2001	5	13	18	15	183.12
2001	5	13	18	15	183.26
2001	5	18	16	18	183.32
2001	5	18	16	18	183.4
2001	5	20	16	17	183.48
2001	5	20	16	17	183.56
2001	5	24	15	32	183.62
2001	5	24	15	32	183.72
2001	5	28	15	36	183.72
2001	5	28	15	36	183.82
2001	5	31	22	10	184
2001	5	31	22	10	184.05
2001	6	3	16	30	184.13
2001	6	3	16	30	184.19
2001	6	7	16	30	184.21
2001	6	7	16	30	184.42
2001	6	10	16	25	184.44
2001	6	10	16	25	184.44
2001	6	14	19	39	184.46
2001	6	14	19	39	184.53
2001	6	17	17	42	184.56
2001	6	17	17	42	184.56
2001	6	21	16	6	184.7
2001	6	21	16	6	184.74
2001	6	24	18	55	184.77
2001	6	24	18	55	184.86
2001	6	28	21	40	184.89
2001	6	28	21	40	184.92
2001	7	1	22	35	185.14
2001	7	1	22	35	185.19
2001	7	5	16	50	185.27
2001	7	5	16	50	185.72
2001	7	8	16	50	185.78
2001	7	8	16	50	185.89
2001	7	12	18	0	185.9
2001	7	12	18	0	186.13
2001	7	15	21	21	186.32
2001	7	15	21	21	186.34
2001	7	19	15	17	186.59
2001	7	19	15	17	186.6
2001	7	22	16	31	186.7
2001	7	22	16	31	186.82
2001	7	26	21	35	187.41
2001	7	26	21	35	187.45
2001	7	29	22	30	187.48
2001	7	29	22	30	187.59
2001	8	2	15	30	187.64
2001	8	2	15	30	187.7
2001	8	5	17	50	187.71
2001	8	5	17	50	188.04
2001	8	9	16	32	188.18
2001	8	9	16	32	188.34
2001	8	12	16	27	188.4
2001	8	12	16	27	188.41
2001	8	16	15	29	188.59
2001	8	16	15	29	188.7
2001	8	19	18	36	188.78
2001	8	19	18	36	188.89
2001	8	23	22	40	188.9
2001	8	23	22	40	188.96
2001	8	26	22	45	189
2001	8	26	22	45	189.02
2001	8	30	18	5	189.05
2001	8	30	18	5	189.21
2001	9	2	20	30	189.5
2001	9	2	20	30	189.7
2001	9	6	16	32	189.87
2001	9	6	16	32	189.91
2001	9	9	18	53	189.97
2001	9	9	18	53	189.98
2001	9	13	15	43	190.04
2001	9	13	15	43	190.2
2001	9	16	17	19	190.24
2001	9	16	17	19	190.26
2001	9	20	22	40	190.3
2001	9	20	22	40	190.3
2001	9	23	17	35	190.62
2001	9	23	17	35	190.9
2001	9	27	18	0	191.03
2001	9	27	18	0	191.05
2001	9	30	22	20	191.09
2001	9	30	22	20	192.17
2001	10	4	16	42	192.37
2001	10	4	16	42	192.41
2001	10	8	1	47	192.7
2001	10	8	1	47	192.83
2001	10	11	21	10	192.88
2001	10	11	21	25	193.69
2001	10	11	21	25	193.72
2001	10	14	16	1	193.77
2001	10	14	16	1	193.93
2001	10	18	22	25	194.02
2001	10	18	22	25	194.08
2001	10	22	22	25	194.09
2001	10	22	22	25	194.52
2001	10	25	22	32	194.8
2001	10	25	22	32	194.89
2001	11	1	18	37	194.91
2001	11	1	18	37	194.96
2001	11	4	20	45	195.03
2001	11	4	20	45	195.13
2001	11	8	19	14	195.36
2001	11	8	19	14	195.41
2001	11	11	17	47	195.46
2001	11	11	17	47	195.86
2001	11	15	23	35	196.96
2001	11	15	23	35	196.98
2001	11	18	22	25	197.1
2001	11	18	22	25	197.15
2001	11	22	22	40	197.37
2001	11	22	22	40	197.37
2001	11	25	23	45	197.8
2001	11	25	23	45	198.19
2001	11	29	18	31	198.52
2001	11	29	18	31	198.98
2001	12	2	20	53	199.29
2001	12	2	20	53	199.89
2001	12	6	18	7	200.04
2001	12	6	18	7	200.05
2001	12	9	17	22	200.36
2001	12	9	17	22	200.54
2001	12	14	5	0	200.58
2001	12	14	5	0	200.6
2001	12	17	0	0	200.69
2001	12	17	0	0	200.81
2001	12	20	22	40	200.91
2001	12	20	22	40	201.24
2001	12	24	18	35	201.43
2001	12	24	18	35	201.74
2001	12	27	15	2	201.93
2001	12	27	15	2	201.96
2001	12	27	19	0	202.26
2001	12	27	19	0	202.38
2001	12	30	20	10	203.16
2001	12	30	20	10	203.29
2002	1	3	18	26	203.75
2002	1	3	18	26	204.25
2002	1	6	17	31	205.04
2002	1	6	17	31	205.1
2002	1	10	20	30	205.4
2002	1	10	20	30	205.42
2002	1	14	17	13	205.54
2002	1	14	17	13	205.61
2002	1	17	18	6	206.09
2002	1	17	18	6	206.53
2002	1	20	19	39	206.63
2002	1	20	19	39	206.93
2002	1	24	18	48	206.96
2002	1	24	18	48	206.98
2002	1	27	17	21	206.99
2002	1	27	17	21	207.83
2002	1	31	17	27	207.97
2002	1	31	17	27	208.39
2002	2	3	17	18	208.72
2002	2	3	17	18	208.8
2002	2	7	20	50	209.01
2002	2	7	20	50	209.08
2002	2	11	20	8	209.21
2002	2	11	20	8	209.4
2002	2	14	21	40	209.68
2002	2	14	21	40	209.71
2002	2	18	1	31	209.92
2002	2	18	1	31	210.4
2002	2	21	17	22	211.24
2002	2	21	17	22	211.26
2002	2	24	17	34	211.47
2002	2	24	17	34	211.83
2002	2	28	20	11	212.55
2002	2	28	20	11	212.63
2002	3	3	18	35	212.95
2002	3	3	18	35	213.03
2002	3	7	18	35	213.09
2002	3	7	18	35	213.47
2002	3	13	1	30	213.59
2002	3	13	1	30	213.66
2002	3	14	20	0	213.79
2002	3	14	20	0	213.81
2002	3	17	20	0	213.93
2002	3	17	20	0	214.09
2002	3	21	18	30	214.21
2002	3	21	18	30	214.36
2002	3	24	21	30	214.91
2002	3	24	21	30	215.49
2002	3	28	18	30	215.74
2002	3	28	18	30	216.65
2002	4	1	19	50	216.86
2002	4	1	19	50	217.5
2002	4	4	19	20	217.89
2002	4	4	19	20	218.08
2002	4	7	16	30	218.15
2002	4	7	16	30	218.73
2002	4	11	19	15	219.06
2002	4	11	19	15	219.44
2002	4	14	22	35	219.8
2002	4	14	22	35	219.89
2002	4	18	17	23	220.33
2002	4	18	17	23	220.62
2002	4	21	17	0	220.78
2002	4	21	17	0	221.83
2002	4	25	17	15	222.13
2002	4	25	17	15	223.7
2002	4	28	20	10	223.88
2002	4	28	20	10	224.21
2002	5	2	17	14	224.45
2002	5	2	17	14	225.15
2002	5	5	17	6	225.67
2002	5	5	17	6	226.02
2002	5	9	20	30	227.51
2002	5	9	20	30	229.48
2002	5	12	23	25	229.77
2002	5	12	23	25	230.17
2002	5	16	15	14	230.35
2002	5	16	15	14	230.94
2002	5	19	22	40	231.37
2002	5	19	22	40	231.5
2002	5	23	19	55	232.03
2002	5	23	19	55	232.95
2002	5	26	22	0	233.12
2002	5	26	22	0	233.77
2002	5	30	22	0	233.89
2002	5	30	22	0	234.01
2002	6	2	16	37	235.59
2002	6	2	16	37	236.13
2002	6	7	17	45	236.89
2002	6	7	17	45	237.62
2002	6	13	17	32	242.14
2002	6	13	17	32	242.81
2002	6	16	22	0	243.69
2002	6	16	22	0	243.71
2002	6	20	18	37	244.1
2002	6	20	18	37	244.38
2002	6	23	19	21	244.46
2002	6	23	19	21	244.86
2002	6	27	18	0	245.05
2002	6	27	18	0	245.55
2002	6	30	23	14	245.91
2002	6	30	23	14	246.97
2002	7	5	21	20	247.21
2002	7	5	21	20	248.09
2002	7	7	23	50	248.84
2002	7	7	23	50	251.93
2002	7	11	16	8	252.38
2002	7	11	16	8	252.6
2002	7	14	19	40	253.19
2002	7	14	19	40	254.06
2002	7	18	22	30	254.61
2002	7	18	22	30	255.7
2002	7	22	19	25	257.06
2002	7	22	19	25	258.25
2002	7	25	18	15	258.44
2002	7	25	18	15	259.38
2002	7	28	22	0	259.83
2002	7	28	22	0	260.3
2002	8	1	21	7	261.49
2002	8	1	21	7	264
2002	8	8	15	27	265.68
2002	8	8	15	27	265.78
2002	8	13	7	30	266.8
2002	8	13	7	30	267.27
2002	8	18	22	15	267.33
2002	8	18	22	15	269.48
2002	8	22	19	0	271.54
2002	8	22	19	0	271.96
2002	8	25	18	6	272.51
2002	8	25	18	6	272.61
2002	8	29	18	10	273.29
2002	8	29	18	10	274.25
2002	9	1	19	55	275.59
2002	9	1	19	55	278.38
2002	9	5	16	2	282.03
2002	9	5	16	2	286.17
2002	9	8	18	19	286.74
2002	9	12	20	39	289.97
2002	9	12	20	39	290.2
2002	9	15	21	55	291.79
2002	9	15	21	55	291.92
2002	9	19	17	30	292.14
2002	9	19	17	30	293.01
2002	9	22	19	45	293.94
2002	9	22	19	45	294.31
2002	9	27	19	35	295.77
2002	9	27	19	35	296.72
2002	10	4	15	58	300.64
2002	10	4	15	58	306.27
2002	10	6	15	23	308.07
2002	10	6	15	23	308.68
2002	10	10	17	34	311.09
2002	10	10	17	34	311.84
2002	10	17	18	45	311.88
2002	10	17	18	45	317.18
2002	10	21	16	0	317.52
2002	10	21	16	0	318.85
2002	10	24	17	45	320.42
2002	10	24	17	45	323.27
2002	10	27	20	54	326.26
2002	10	27	20	54	327.11
2002	10	31	17	32	331.38
2002	10	31	17	32	333.02
2002	11	3	21	10	335.31
2002	11	3	21	10	337.69
2002	11	7	22	10	337.7
2002	11	10	22	30	343.25
2002	11	10	22	30	343.3
2002	11	14	21	15	355.51
2002	11	14	21	15	358.98
2002	11	17	21	45	364.27
2002	11	17	21	45	365.61
2002	11	21	20	25	365.63
