Ecoregion,F-Anthro,F-Natural
Araucaria            ,34.09,30.08
Atlantic Coast       ,40.87,27.6
Bahia coastal        ,44.75,28.16
Bahia interior       ,37.58,27.44
Bolivian Yungas      ,12.4,16.75
Caatinga             ,60.74,33
Caqueta              ,4.95,9.7
Cataumbo             ,25.4,27.85
Cauca Valley         ,40.08,23.88
Choco-Darien         ,31.01,24.52
Cordillera la Costa  ,16.76,20.27
Cordillera Oriental  ,20.36,21.71
Eastern Cordillera   ,37.06,28.99
Eastern Panamanian   ,33.32,22.81
Guayanan Highlands   ,3.53,9.76
Guianan              ,5.49,12.73
Gurupa               ,12.07,15.74
Iquitos              ,4.63,9.38
Japura-Solimoes-Negro,3.33,7.37
Jurua-Purus          ,2.42,5.42
Madeira-Tapajos      ,4.79,11.02
Magdalena Valley     ,31.85,26.99
Magdalena-Uraba      ,42.7,37.54
Marajo Varzea        ,14.2,15.09
Maranhao Babaru      ,41.16,35.78
Mato Grosso          ,8.49,18
Monte Alegre         ,8.1,12.41
Napo                 ,5.18,10.56
Negro-Branco         ,3.76,8.83
Northeastern Brazil  ,71.63,24.48
Northwestern Andean  ,36.37,29.24
Orinoco Delta        ,16.17,19.52
Guianan Freshwater   ,21.44,19.79
Alta Parana          ,44.02,35.5
Pernambuco coastal   ,85.57,18.38
Pernambuco interior  ,86.75,19.6
Peruvian Yungas      ,22.1,23.23
Purus                ,3.43,6.62
Purus-Madeira        ,3.82,7.87
Rio Negro            ,6.47,11.82
Santa Marta          ,44,30.59
Serra do Mar         ,38.4,29.25
Solimoes-Japura      ,2.84,5.69
Southern Andean      ,17.58,24.99
Southwest Amazon     ,2.02,6.57
Tapajos-Xingu        ,2.54,6.13
Tepuis               ,13.67,17.55
Tocantin/Pindare     ,25.47,25.68
Trinidad & Tobago    ,21.28,22.84
Uatuma-Trombetas     ,3.75,8.55
Ucayali              ,6.76,13.04
Venezuelan Andes     ,20.3,21.62
Western Ecuador      ,49.59,27.87
Xingu-Tocantins      ,6.42,11.42
