DESIGN,DAY,CAVITY,STRENGTH
OLD,1,1,210
OLD,2,1,209
OLD,3,1,213
OLD,4,1,216
OLD,5,1,209
OLD,6,1,214
OLD,7,1,214
OLD,8,1,217
OLD,9,1,213
OLD,10,1,213
OLD,11,1,216
OLD,12,1,216
OLD,13,1,217
OLD,14,1,224
OLD,15,1,224
OLD,16,1,224
OLD,17,1,221
OLD,18,1,220
OLD,19,1,221
OLD,20,1,215
OLD,21,1,214
OLD,22,1,215
OLD,23,1,213
OLD,24,1,212
OLD,25,1,226
OLD,26,1,225
OLD,27,1,217
OLD,28,1,214
OLD,29,1,218
OLD,30,1,207
OLD,31,1,216
OLD,32,1,209
OLD,1,2,212
OLD,2,2,212
OLD,3,2,216
OLD,4,2,214
OLD,5,2,213
OLD,6,2,214
OLD,7,2,216
OLD,8,2,225
OLD,9,2,225
OLD,10,2,215
OLD,11,2,216
OLD,12,2,218
OLD,13,2,217
OLD,14,2,221
OLD,15,2,224
OLD,16,2,224
OLD,17,2,221
OLD,18,2,222
OLD,19,2,221
OLD,20,2,215
OLD,21,2,223
OLD,22,2,215
OLD,23,2,217
OLD,24,2,213
OLD,25,2,226
OLD,26,2,217
OLD,27,2,216
OLD,28,2,216
OLD,29,2,203
OLD,30,2,209
OLD,31,2,216
OLD,32,2,214
OLD,1,3,211
OLD,2,3,211
OLD,3,3,215
OLD,4,3,217
OLD,5,3,213
OLD,6,3,216
OLD,7,3,216
OLD,8,3,217
OLD,9,3,225
OLD,10,3,216
OLD,11,3,215
OLD,12,3,224
OLD,13,3,218
OLD,14,3,224
OLD,15,3,223
OLD,16,3,223
OLD,17,3,221
OLD,18,3,221
OLD,19,3,221
OLD,20,3,217
OLD,21,3,222
OLD,22,3,216
OLD,23,3,215
OLD,24,3,214
OLD,25,3,227
OLD,26,3,217
OLD,27,3,215
OLD,28,3,215
OLD,29,3,205
OLD,30,3,212
OLD,31,3,216
OLD,32,3,213
OLD,1,4,211
OLD,2,4,210
OLD,3,4,214
OLD,4,4,214
OLD,5,4,211
OLD,6,4,216
OLD,7,4,216
OLD,8,4,225
OLD,9,4,225
OLD,10,4,223
OLD,11,4,217
OLD,12,4,217
OLD,13,4,214
OLD,14,4,224
OLD,15,4,224
OLD,16,4,221
OLD,17,4,220
OLD,18,4,222
OLD,19,4,220
OLD,20,4,215
OLD,21,4,214
OLD,22,4,215
OLD,23,4,220
OLD,24,4,211
OLD,25,4,225
OLD,26,4,215
OLD,27,4,216
OLD,28,4,214
OLD,29,4,210
OLD,30,4,185
OLD,31,4,223
OLD,32,4,213
OLD,1,5,190
OLD,2,5,209
OLD,3,5,216
OLD,4,5,217
OLD,5,5,213
OLD,6,5,215
OLD,7,5,215
OLD,8,5,217
OLD,9,5,214
OLD,10,5,215
OLD,11,5,215
OLD,12,5,228
OLD,13,5,218
OLD,14,5,224
OLD,15,5,224
OLD,16,5,225
OLD,17,5,223
OLD,18,5,223
OLD,19,5,223
OLD,20,5,222
OLD,21,5,225
OLD,22,5,215
OLD,23,5,219
OLD,24,5,214
OLD,25,5,228
OLD,26,5,221
OLD,27,5,216
OLD,28,5,217
OLD,29,5,214
OLD,30,5,213
OLD,31,5,216
OLD,32,5,215
OLD,1,6,213
OLD,2,6,211
OLD,3,6,217
OLD,4,6,216
OLD,5,6,212
OLD,6,6,213
OLD,7,6,216
OLD,8,6,217
OLD,9,6,214
OLD,10,6,214
OLD,11,6,216
OLD,12,6,226
OLD,13,6,217
OLD,14,6,225
OLD,15,6,225
OLD,16,6,225
OLD,17,6,221
OLD,18,6,221
OLD,19,6,221
OLD,20,6,215
OLD,21,6,223
OLD,22,6,216
OLD,23,6,216
OLD,24,6,215
OLD,25,6,220
OLD,26,6,214
OLD,27,6,217
OLD,28,6,215
OLD,29,6,211
OLD,30,6,213
OLD,31,6,217
OLD,32,6,211
OLD,1,7,212
OLD,2,7,209
OLD,3,7,217
OLD,4,7,218
OLD,5,7,212
OLD,6,7,214
OLD,7,7,216
OLD,8,7,218
OLD,9,7,215
OLD,10,7,215
OLD,11,7,215
OLD,12,7,226
OLD,13,7,217
OLD,14,7,223
OLD,15,7,225
OLD,16,7,224
OLD,17,7,219
OLD,18,7,221
OLD,19,7,219
OLD,20,7,223
OLD,21,7,215
OLD,22,7,216
OLD,23,7,213
OLD,24,7,215
OLD,25,7,228
OLD,26,7,229
OLD,27,7,217
OLD,28,7,216
OLD,29,7,208
OLD,30,7,215
OLD,31,7,217
OLD,32,7,213
OLD,1,8,211
OLD,2,8,183
OLD,3,8,216
OLD,4,8,215
OLD,5,8,211
OLD,6,8,214
OLD,7,8,215
OLD,8,8,218
OLD,9,8,224
OLD,10,8,214
OLD,11,8,215
OLD,12,8,218
OLD,13,8,217
OLD,14,8,221
OLD,15,8,222
OLD,16,8,224
OLD,17,8,222
OLD,18,8,223
OLD,19,8,222
OLD,20,8,216
OLD,21,8,215
OLD,22,8,216
OLD,23,8,214
OLD,24,8,216
OLD,25,8,226
OLD,26,8,218
OLD,27,8,217
OLD,28,8,216
OLD,29,8,210
OLD,30,8,216
OLD,31,8,217
OLD,32,8,213
OLD,1,9,164
OLD,2,9,209
OLD,3,9,224
OLD,4,9,228
OLD,5,9,216
OLD,6,9,215
OLD,7,9,216
OLD,8,9,227
OLD,9,9,226
OLD,10,9,215
OLD,11,9,215
OLD,12,9,224
OLD,13,9,218
OLD,14,9,224
OLD,15,9,224
OLD,16,9,225
OLD,17,9,223
OLD,18,9,223
OLD,19,9,223
OLD,20,9,222
OLD,21,9,223
OLD,22,9,215
OLD,23,9,215
OLD,24,9,216
OLD,25,9,226
OLD,26,9,217
OLD,27,9,222
OLD,28,9,213
OLD,29,9,205
OLD,30,9,208
OLD,31,9,223
OLD,32,9,213
OLD,1,10,209
OLD,2,10,209
OLD,3,10,215
OLD,4,10,215
OLD,5,10,213
OLD,6,10,213
OLD,7,10,215
OLD,8,10,217
OLD,9,10,224
OLD,10,10,215
OLD,11,10,215
OLD,12,10,218
OLD,13,10,217
OLD,14,10,224
OLD,15,10,224
OLD,16,10,223
OLD,17,10,223
OLD,18,10,222
OLD,19,10,223
OLD,20,10,215
OLD,21,10,215
OLD,22,10,215
OLD,23,10,215
OLD,24,10,216
OLD,25,10,227
OLD,26,10,216
OLD,27,10,217
OLD,28,10,214
OLD,29,10,208
OLD,30,10,215
OLD,31,10,217
