julian-date,time,view,cloud,degree,icetype,depth,texture,icelayer,debris,color,broadband-alb,visible-alb,infrared-alb,band1-alb,band2-alb,band3-alb,band4-alb,band5-alb,band6-alb,thickness,pond-num
147,1310,CR,SC,5,3,0.09,1,0,1,7,0.4,0.62,0.18,0.7,0.68,0.52,0.26,0.2,0.14,0,1
147,1340,CR,SC,5,3,0,1,0,1,6,0.51,0.64,0.38,0.69,0.67,0.61,0.49,0.38,0.26,0,2
148,1931,CR,SC,5,1,0.03,1,0,0,4,0.48,0.67,0.29,0.73,0.71,0.63,0.44,0.3,0.15,0,3
148,1943,CR,SC,5,1,0.03,1,0,0,4,0.42,0.59,0.25,0.65,0.63,0.55,0.37,0.26,0.15,0,4
148,2004,CR,SC,5,1,0.04,1,0,0,4,0.43,0.56,0.31,0.61,0.6,0.52,0.38,0.31,0.25,0,5
148,2035,CR,SC,5,1,0.02,1,0,0,4,0.44,0.59,0.28,0.64,0.62,0.57,0.4,0.29,0.17,0,6
148,2045,B5,SC,5,1,0.02,1,0,0,4,0.51,0.67,0.36,0.76,0.74,0.67,0.46,0.37,0.28,0,7
149,1337,CR,SC,5,1,0.04,0,0,1,2,0.35,0.52,0.18,0.58,0.56,0.48,0.29,0.19,0.08,0,8
149,1349,CR,SC,5,1,0.03,0,0,0,2,0.42,0.62,0.23,0.68,0.66,0.57,0.37,0.23,0.09,0,9
149,1449,B5,SC,4,2,0.13,0,0,0,10,0.38,0.5,0.25,0.6,0.58,0.41,0.17,0.31,0.45,0,10
149,1511,CR,SC,4,2,0.07,1,0,0,5,0.31,0.49,0.13,0.57,0.55,0.39,0.19,0.13,0.07,0,11
149,1520,CR,SC,5,2,0.08,1,0,0,2,0.31,0.5,0.12,0.58,0.56,0.41,0.2,0.13,0.06,0,12
149,1530,CR,SC,5,2,0.13,1,0,0,4,0.29,0.45,0.13,0.52,0.51,0.41,0.21,0.14,0.07,0,13
149,1543,CR,SC,5,2,0.1,0,0,0,10,0.28,0.45,0.11,0.53,0.51,0.38,0.17,0.12,0.06,0,14
149,1655,CR,SC,4,1,0.05,0,0,0,4,0.49,0.66,0.31,0.76,0.74,0.64,0.4,0.34,0.27,0,15
149,1658,CR,SC,4,1,0.02,0,0,0,4,0.46,0.59,0.33,0.68,0.66,0.56,0.36,0.37,0.38,0,16
150,1038,B5,ST,5,2,0.41,1,0,0,8,0.21,0.32,0.1,0.4,0.39,0.24,0.07,0.12,0.17,0,17
150,1054,B5,ST,5,2,0.12,1,0,0,6,0.3,0.46,0.15,0.55,0.53,0.41,0.17,0.18,0.18,0,18
150,1107,B5,ST,5,2,0.09,1,0,1,12,0.14,0.19,0.1,0.22,0.21,0.22,0.12,0.11,0.1,0,19
150,1115,B5,ST,5,2,0.11,1,0,0,6,0.25,0.38,0.12,0.45,0.43,0.35,0.16,0.13,0.1,0,20
150,1115,B5,ST,5,2,0.1,1,0,0,6,0.33,0.51,0.15,0.62,0.6,0.44,0.2,0.16,0.12,0,21
150,1116,B5,ST,5,2,0.12,1,0,0,6,0.34,0.55,0.14,0.67,0.65,0.45,0.19,0.16,0.12,0,22
150,1117,B5,ST,5,2,0.12,1,0,0,6,0.32,0.53,0.11,0.67,0.65,0.41,0.14,0.13,0.11,0,23
150,1118,B5,ST,5,2,0.12,1,0,0,6,0.35,0.58,0.12,0.73,0.71,0.46,0.18,0.14,0.11,0,24
150,1119,B5,ST,5,2,0.1,1,0,0,6,0.4,0.64,0.16,0.8,0.78,0.55,0.24,0.18,0.12,0,25
150,1119,B5,ST,5,2,0.09,1,0,0,6,0.36,0.56,0.15,0.69,0.67,0.49,0.22,0.17,0.12,0,26
150,955,B5,ST,5,1,0.02,1,0,0,4,0.5,0.66,0.33,0.77,0.75,0.63,0.45,0.33,0.22,0,27
150,957,B5,ST,5,1,0.05,1,0,0,4,0.45,0.65,0.25,0.77,0.74,0.6,0.35,0.27,0.19,0,28
150,958,B5,ST,5,1,0.04,0,0,0,6,0.46,0.65,0.28,0.76,0.74,0.6,0.38,0.3,0.21,0,29
150,959,B5,ST,5,1,0.03,1,0,0,4,0.51,0.69,0.33,0.8,0.78,0.65,0.44,0.34,0.24,0,30
150,1000,B5,ST,5,1,0.03,1,0,0,6,0.43,0.6,0.26,0.7,0.68,0.53,0.33,0.28,0.23,0,31
150,1002,B5,ST,5,1,0.04,1,0,0,6,0.4,0.57,0.24,0.66,0.65,0.5,0.3,0.26,0.23,0,32
150,1007,B5,ST,5,1,0.06,1,0,0,6,0.38,0.54,0.23,0.63,0.61,0.49,0.27,0.25,0.23,0,33
150,1009,B5,ST,5,1,0.06,1,0,0,4,0.32,0.46,0.19,0.52,0.51,0.4,0.22,0.22,0.22,0,34
151,815,B5,AC,2,2,0.13,1,1,1,12,0.26,0.43,0.09,0.52,0.5,0.35,0.13,0.11,0.08,0.2,35
151,816,B5,AC,2,2,0.18,1,1,0,3,0.24,0.4,0.07,0.49,0.47,0.28,0.08,0.08,0.09,0.2,36
151,816,B5,AC,2,2,0.18,0,0,0,6,0.24,0.4,0.07,0.49,0.47,0.27,0.08,0.09,0.1,0,37
151,817,B5,AC,2,2,0.15,0,0,0,6,0.22,0.36,0.07,0.44,0.43,0.25,0.07,0.09,0.11,0,38
151,857,B5,AC,2,2,0.14,0,1,0,4,0.35,0.6,0.11,0.74,0.72,0.46,0.15,0.13,0.1,0.2,39
151,858,B5,AC,2,2,0.13,0,1,0,4,0.37,0.62,0.12,0.77,0.75,0.48,0.17,0.14,0.11,0.2,40
151,859,B5,AC,2,2,0.12,0,0,0,4,0.42,0.62,0.22,0.77,0.74,0.47,0.17,0.28,0.38,0,41
151,830,B5,AC,2,2,0.11,1,0,1,4,0.27,0.46,0.09,0.56,0.54,0.36,0.13,0.1,0.07,0,42
151,831,B5,AC,2,2,0.14,1,0,1,4,0.29,0.49,0.09,0.61,0.59,0.38,0.13,0.1,0.08,0,43
151,832,B5,AC,2,2,0.17,0,0,1,4,0.37,0.63,0.1,0.8,0.78,0.51,0.16,0.12,0.08,0,44
151,833,B5,AC,2,2,0.18,0,1,1,4,0.29,0.5,0.08,0.63,0.61,0.37,0.11,0.09,0.08,0.2,45
