CruiseShip,InspDate,Rating
ADONIA                 ,37753,99
ADVENTURE OF THE SEAS  ,37919,97
AIDAAura               ,37943,99
AIDAvita               ,37574,98
ALBATROSS              ,37513,96
AMSTERDAM              ,37868,97
ARABELLA               ,38004,91
ASTOR                  ,37750,79
ASUKA                  ,37985,93
AURORA                 ,38017,100
BRAEMAR                ,37536,95
BREMEN                 ,37866,95
BRILLIANCE OF THE SEAS ,38075,99
C. COLUMBUS            ,37555,95
CARIBBEAN EXPRESS      ,38040,89
CARIBBEAN PRINCESS     ,38111,100
CARNIVAL CONQUEST      ,37927,93
CARNIVAL DESTINY       ,38005,90
CARNIVAL GLORY         ,38038,100
CARNIVAL LEGEND        ,38090,99
CARNIVAL MIRACLE       ,38052,97
CARNIVAL PRIDE         ,38018,91
CARNIVAL SPIRIT        ,38028,91
CARNIVAL TRIUMPH       ,38006,97
CARNIVAL VICTORY       ,38039,99
CARONIA                ,38008,96
CELEBRATION            ,37998,93
CENTURY                ,37971,97
CLIPPER ADVENTURER     ,37880,99
CLIPPER ODYSSEY        ,37824,90
CLUB MED 2             ,38089,94
CONSTELLATION          ,37946,95
CORAL PRINCESS         ,38038,98
COSTA ATLANTICA        ,38083,98
COSTA CLASSICA         ,37967,99
COSTA MEDITERRANEA     ,38081,100
COSTA VICTORIA         ,37713,96
CRYSTAL HARMONY        ,37965,92
CRYSTAL SERENITY       ,38109,96
CRYSTAL SYMPHONY       ,38068,95
DAWN PRINCESS          ,37970,90
DEUTSCHLAND            ,37991,94
DIAMOND PRINCESS       ,38094,99
DISCOVERY SUN          ,38027,98
DISNEY MAGIC           ,37961,94
DISNEY WONDER          ,38001,94
ECSTASY                ,37977,93
ELATION                ,37976,94
EMPRESS OF THE NORTH   ,38081,91
ENCHANTED CAPRI        ,37713,81
ENCHANTMENT OF THE SEAS,37996,99
EUROPA                 ,37800,97
EXPLORER OF THE SEAS   ,37914,99
FANTASY                ,37941,87
FASCINATION            ,37974,96
GALAXY                 ,38058,94
GOLDEN PRINCESS        ,38109,97
GRAND PRINCESS         ,37997,97
GRANDE CARIBE          ,37838,87
GRANDE MARINER         ,37929,93
GRANDEUR OF THE SEAS   ,38094,96
HANSEATIC              ,37901,92
HOLIDAY                ,37989,93
HORIZON                ,38072,90
IMAGINATION            ,38010,92
INFINITY               ,37990,98
INSPIRATION            ,38004,99
ISLAND ADVENTURE       ,38013,90
ISLAND PRINCESS        ,37971,100
JUBILEE                ,37969,93
LE LEVANT              ,37972,98
LEGACY                 ,38059,98
LEGEND OF THE SEAS     ,38092,93
LOGOS II               ,37759,79
MAASDAM                ,37944,93
MAJESTY OF THE SEAS    ,38019,96
MARINER OF THE SEAS    ,37962,97
MAXIM GORKIY           ,38064,87
MELODY                 ,37656,96
MERCURY                ,38005,93
MILLENNIUM             ,38071,94
MILLENNIUM EXPRESS     ,37662,91
MINERVA II             ,38085,97
MIRAGE                 ,37867,98
MONARCH OF THE SEAS    ,37915,94
MSC LIRICA             ,38111,85
MV DISCOVERY           ,38064,92
NANTUCKET CLIPPER      ,38077,95
NAUTILUS EXPLORER      ,37449,74
NAVIGATOR OF THE SEAS  ,38007,98
NIAGRA PRINCE          ,38095,92
NIPPON MARU            ,37986,97
NOORDAM                ,38074,93
NORDIC EMPRESS         ,37899,92
NORWAY                 ,37749,95
NORWEGIAN CROWN        ,38086,94
NORWEGIAN DAWN         ,38035,100
NORWEGIAN DREAM        ,38025,97
NORWEGIAN MAJESTY      ,38094,97
NORWEGIAN SEA          ,37996,96
NORWEGIAN SKY          ,38082,95
NORWEGIAN STAR         ,38067,99
NORWEGIAN SUN          ,38011,100
NORWEGIAN WIND         ,38010,99
OCEAN BREEZE           ,37650,93
OCEANA                 ,38069,96
OLYMPIA VOYAGER        ,37954,97
